clave,escuela
157,"CONALEP 121 (EL ROSARIO, SIN)"
158,UAS (EL SALADO)
160,CONALEP 119
161,PREPARATORIA SINALOENSE
156,CONALEP 115 (NAVOLATO)
180,CONALEP III GVE
162,INST. CULTURAL DE OCCIDENTE
163,UAS PREP. SEMIESCOLARIZADA
168,COBAES 67 CENTRO DE EST.OCORON
164,ANTONIO ROSALES FLORES
166,UAS (2 DE OCTUBRE)
169,CONALEP 118 GVE
173,COLEGIO GUASAVE
175,ITESM CAMPUS MAZATLAN
183,PREPARATORIA POR COOPERACION (JOSE VASCONCELOS)
184,INST.TECNOL.SUP.DE SINALOA A.C
188,UAS (LAGUNA DE CANACHI)
190,PREPARATORIA ABIERTA (SEP)
178,C.B.T.A. No. 40
59,COBAES 59 (CRISTINO C. ROMO )
65,CENTRO DE ESTUDIOS DE BACHILLERATO
66,CONALEP MOCORITO
68,CONALEP LA REFORMA
194,COBAES 74 (EMSAD OTATILLOS)
69,COLEGIO BEGSU DE MAZATLAN A.C.
195,"UNIVERSIDAD AUTONOMA DE DURANGO, CAMPUS MAZATLAN"
196,INST. DARWIN DE EDU. ACTIVA AC
197,COLEGIO GUAMUCHIL
198,COLEGIO ATENAS
202,UAS (DR. GABINO BARREDA)
205,INST.SUP.VIZCAYA PACIFICO A.C.
211,CONALEP II (MAZATLAN)
208,INSTITUTO TECNOLÓGICO DE CULIACÁN
217,CET. DEL MAR 08
229,COLEGIO LICEO MAZATLAN
233,SAETA (SIST.ABIERTO ED.TEC.AGR
222,COBAES 71 (LEON FONSECA)
223,BACHI. SAN MIGUEL DE CULIACAN
234,COLEGIO IMPERIO
235,CENTRO PEDAGOCIO DEL NOROESTE
237,CONALEP 045
239,COLEGIO NIÑOS HEROES DE CHAPUL
240,INSTITUTO AMERICANO
243,CENTRO PEDAGOGICO DEL NOROESTE
244,ESC. PREP.IGNACIO M.ALTAMIRANO
246,PREPARATORIA ABIERTA NAVOLATO
250,ITESM CAMPUS MORELOS
325,COBAES 69 (PROF. HERMES GONZALES)
329,CENTRO DE ESTUDIOS DEL NOROESTE
330,PREP. FRANCISCO J. MUGICA
331,PREPARATORIA MATUTINA COLEGIO SINALOA
333,UAS (EL ROSARIO)
335,UAS (VENANCIO LEYVA MURILLO)
336,UAS (ING. JUAN DE DIOS BATIZ PAREDES)
339,INSTITUTO BILINGUE JEAN PIAGET
341,INST. SUPERIOR DE INFORMATICA Y COMPUTACION
342,COBAES 73 (CENTRO DE BACHILLERATO COM. DIMAS)
347,CONALEP 046 (MAZATLAN)
349,ESC. PREP. MATUTINA CERVANTES
351,CEUS UNIVERSIDAD
354,UAS (JOSE VASCONCELOS)
358,COLEGIO SUPERIOR DE VERONA
360,PREPARATORIA STASE
361,ESCUELA NORMAL DE SINALOA
363,SECUNDARIA TECNICA MEXICO
364,INSTITUTO PITMAN
365,INST. NACIONAL PARA LA EDUCACION DE LOS ADULTOS
366,ESC. ING. MANUEL RIVAS MEJIA
367,UNIVERSIDAD DE OCCIDENTE
368,COL. SOR JUANA INES DE LA CRUZ
370,ISECC
372,UNIVERSIDAD AUTONOMA DE SINALOA
376,UNIVERSIDAD TECNOLOGICA DE SINALOA
377,UNIVERSIDAD CASA BLANCA
384,INST. BILINGUE JEAN PIAGET
391,INSTITUTO CERVANTES
395,INSTITUTO DEL CARMEN
404,M.C. EN ADMINISTRACION DE EMPRESAS
414,FLORIDA INSTITUTE OF TECHNOLOGY
415,ESCUELA PREPARATORIA CERVANTES
416,C.B.T.A. 133 (EXT. VILLA JUAREZ)
418,COLEGIO CHAPULTEPEC
419,COLEGIO EL PACIFICO
420,COBAES EMSAD AGUA CALIENTE GRANDE
422,COBAES 30 (COSTA RICA)
423,CONALEP (J.J. RIOS)
424,TEC MILENIO
426,PREP. ABIERTA ( SERVICIOS REGIONALES DE PETATLAN)
428,BACHILLERATO SOR JUANA INES DE LA CRUZ
429,"COBAES 81 EMSAD 10  ""JESUS MARIA"""
431,GRAL. FRANCISCO J. MUGICA
432,CET. DEL MAR N. 28
435,"INSTITUTO CULTURAL DE OCCIDENTE, A.C."
439,PREPARATORIA Y SECUNDARIA ABIERTA SIGLO XXI S.C.
443,COLEGIO SEBEC
449,CAM
450,"ACADEMIA GENERAL  ""ANTONIO ROSALES"""
451,INSTITUTO DEL NOROESTE
460,INSTITUTO DE MERCADOTECNIA Y PUBLICIDAD
464,INSTITUTO DE CAPACITACION STASE
465,ESCUELA TECNICA INDUSTRIAL #23
467,C.B.T.A. 133 (MOCORITO)
469,C.B.T.I.S. 152
470,UAS (DE PALOS VERDES)
472,INS. DARWIN DE EDUCACION ACTIVA A.C.(IDEAS)
475,JEAN PIAGET
476,COLEGIO SINALOA (GUAMUCHIL)
477,"INSTITUTO MEXICO, A. C."
479,PREPARATORIA SAN MIGUEL
480,PREPARATORIA INTERNACIONAL
481,CENTRO DE ESTUDIOS JUSTO SIERRA
482,INSTITUTO DE ESTUDIOS SUPERRIORES DE LOS MOCHIS
483,COLEGIO SINALOA (LOS MOCHIS)
489,CENTRO DE EDUCACION JUVENIL HUIXIOPA
490,PREPARATORIA IDEA
491,CENTRO DE ESTUDIOS TECNOLOGICOS DEL MAR
494,CONALEP (LOS MOCHIS)
500,CEJUS
502,INSTITUTO TECNOLOGICO DE LOS MOCHIS
504,"ACADEMIA COMERCIAL ""BENITO JUAREZ"""
512,"COLEGIO REMINGTON, AC"
513,INSTITUTO WINDSOR DE MAZATLAN
514,COLEGIO DE EDUCACION MEDIA SUPERIOR SINALOENSE
517,COBAES (VILLA UNION ) MAZATLAN
518,COBAES (LLANO GRANDE )SINALOA
519,"INSTITUTO COMERCIAL NUEVO GALICIA, A. C."
522,COBAES 99 (SAN JAVIER DE ABAJO)
526,COLEGIO PANAMERICANO A. C.
533,CONALEP ( EL CARRIZO )
541,INSTITUTO CULTURAL COLHUACAN
542,ESCUELA PREPARATORIA ABIERTA
544,SISTEMA EDUCATIVO NACIONAL
548,LIC. EN COMUNICACION GRAFICA
551,SECUNDARIA TECNICA #43
552,INSTITUTO DE MECANIZACION Y COMPUTACION
553,SECUNDARIA C.N.O.P.
554,SEC. RAFAEL BUELNA TENORIO
555,ESC. URBANA #533
556,ESC. SIMON BOLIVAR
557,ESC. FRANCISCO VILLA
558,ESC. PROFA. AGUSTINA ACHOY GUZMAN
559,ESC. JESUS SILVA HERZOG
560,SECUNDARIA TECNICA #1
561,ESC. DR. RUPERTO L. PALIZA
562,FACULTAD DE CONTABILIDAD Y ADMINISTRACION
568,URBANA MATUTINA #11
569,PRIMARIA SOCRATES
570,PRIMARIA SAMUEL M. GIL
571,AGUSTINA RAMIREZ
572,INSTITUTO SINALOENSE PARA EDUCACION DE ADULTOS
573,SECUNDARIA FEDERAL #1
574,SECUNDARIA FEDERAL #6
575,SECUNDARIA LAZARO CARDENAS
576,SECUNDARIA EMILIANO ZAPATA
577,PRIMARIA LIC. BENITO JUAREZ
578,SECUNDARIA PROFR. RAFAEL RAMIREZ
580,ITESM (UNIVERSIDAD VIRTUAL )
581,CENTRO DE INVEST. EN ALIMENTACION Y DESARROLLO
582,COLEGIO GUADALAJARA
583,SEUNDARIA FEDERAL #1
584,ESC. PRIM. AGUSTINA RAMIREZ
586,ESC. PRIM. LIC. BENITO JUAREZ
587,INSTITUTO LATINOAMERICANO DE LA COMUN. EDUCA.
588,ESCUELA SECUNDARIA ELISEO QUINTERO
592,ESC.  LIBRE DE DERECHO DE SINALOA
597,PROFR. RAFAEL RAMIREZ
598,S.N.T.E SECCION 53
599,COBAES 79 (EMSAD SITIO DE ENMEDIO)
