clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
332,4,1,203,Aquiles Serdan,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
333,4,1,125,Los Angeles,25006.0,"CULICAN,SIN.",2003.0,,3
334,4,1,9,Centro,25018.0,"NAVOLATO, SIN.",2003.0,,3
335,4,1,3,Villa del Real,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
526,4,1,0,Infonavit Jobori,25006.0,"CULIACAN, SIN.",2003.0,2071.0,5
527,4,1,0,Villa de Guadalupe,25006.0,"CULIACAN, SIN.",2003.0,2011.0,4
531,4,1,0,Priv Lomas del Bosque,25006.0,"CULIACAN, SIN.",2003.0,2033.0,4
533,4,1,0,CALDERON,25006.0,"NAVOLATO, SIN.",2003.0,2051.0,5
561,4,1,0,,25006.0,"NAVOLATO, SIN.",2003.0,2013.0,4
936,4,2,10,Libertad,25006.0,CULIACAN,2013.0,2061.0,5
939,4,1,74,San Pedro,25018.0,NAVOLATO,2013.0,2061.0,5
944,4,2,16,La Higueras,25006.0,CULIACAN,2013.0,2061.0,5
950,4,1,97,Culiacancito,25006.0,CULIACAN,2013.0,2063.0,5
969,4,1,47,Centro,25006.0,CULIACAN,2013.0,2061.0,5
976,4,1,213,Centro,25011.0,GUASAVE,2013.0,2053.0,5
977,4,1,2,Canaco,25006.0,CULIACAN,2013.0,2061.0,5
978,4,1,127,Centro,25018.0,NAVOLATO,2013.0,2061.0,5
979,4,1,117,Tierra Blanca,25005.0,CULIACAN,2013.0,2061.0,5
980,4,1,55,EJ. SACRIFICIO,25006.0,GUASAVE,2013.0,2063.0,5
981,4,1,107,Santa Natalia,25006.0,CULIACAN,2013.0,2061.0,5
982,4,1,2,Loma Linda,25006.0,CULIACAN,2013.0,2061.0,5
983,4,1,153,FRACC. CANACO,25006.0,CULIACAN,2013.0,2053.0,5
984,4,1,3,Fovissste Playa Azul,25006.0,CULIACAN,2013.0,2061.0,5
985,4,1,118,,25006.0,SINALOA DE LEYV,2013.0,2031.0,4
