clave_alumno,materias_aprobadas,materias_reprobadas,materias_totales,promedio_calificaciones,desviacion_calificaciones,duracion_estudios,sexo,prepa,prepa_nombre,carrera,ciudad,colonia,carrera_codificada,ciudad_codificada,colonia_codificada
2673,47,5,52,80.34615384615384,27.83416198042143,0.0,1,8.0,COBAES 8(PROFR. JOSE RENTERIA),Informatica,CULIACAN,Villa de Guadalupe,4,137,784
2674,48,7,55,72.47272727272727,29.529554903428753,0.0,1,108.0,C.B.T.I.S 152,Informatica,CULIACAN,Infonavit Jobori,4,137,433
2675,47,14,61,62.622950819672134,35.306356337268895,0.0,2,127.0,UAS (NAVOLATO),Informatica,CULIACAN,Alcanfores,4,137,78
2676,49,3,52,91.28846153846153,23.243246152471343,0.0,2,20.0,COBAES 20(PROFR.JESUS M. IBAR),Informatica,CULIACAN,Loma Linda,4,137,516
2678,49,7,56,77.26785714285714,30.835334555390464,0.0,2,17.0,COBAES 17(PROFR. GABRIEL LEYV),Informatica,CULIACAN,Emiliano Zapata,4,137,268
2679,51,2,53,85.16981132075472,19.275069439221028,0.0,2,34.0,COBAES 34(NICOLAS T. BERNAL),Informatica,GUAMUCHIL,La Higueras,4,275,500
2680,23,8,31,60.45161290322581,37.25035902258968,0.0,1,44.0,COBAES 44(PROFRA.ENRIQUETA CA),Informatica,GUASAVE,Las Cupias,4,285,507
2682,15,7,22,54.81818181818182,38.749053891536214,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Informatica,CULIACAN,Los Angeles,4,137,521
2683,50,8,58,74.24137931034483,31.391869740163997,0.0,1,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Informatica,CULIACAN,Stase,4,137,728
2684,16,0,16,82.375,9.701374473066519,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Informatica,CULIACAN,Agustina Ramirez,4,137,76
2688,11,7,18,50.55555555555556,42.24887359754622,0.0,1,132.0,UAS (CHOIX),Informatica,MAZATLAN,Misiones 2000,4,346,560
2689,14,9,23,50.56521739130435,42.11005719535474,0.0,1,153.0,C.E.T.I.S. 107,Informatica,CULIACAN,Stase,4,137,728
2690,49,7,56,77.53571428571429,30.93921564834934,0.0,2,29.0,COBAES 29(PROFRA.AGUSTINA ACH),Informatica,ANGOSTURA,AGRC. INDEPENDE,4,36,30
2691,46,6,52,74.8076923076923,28.727958958872886,0.0,1,63.0,COBAES 63(PROFRA.EMILIA OBESO),Informatica,"V. JUAREZ, NAV.",Perfecto Arredondo,4,470,624
2692,4,2,6,60.333333333333336,48.006943942170146,0.0,2,153.0,C.E.T.I.S. 107,Informatica,EL FUERTE,Pablo E Macias Valenzuela,4,216,617
2694,51,7,58,73.77586206896552,29.32338932532359,0.0,1,107.0,C.B.T.I.S. 224,Informatica,CULIACAN,Lazaro Cardenas,4,137,512
2695,25,12,37,53.513513513513516,38.41413341005685,0.0,1,12.0,COBAES 12(PROFR. JOSE SANTOS ),Informatica,NAVOLATO,BARIOMETO,4,357,114
2697,48,10,58,71.17241379310344,33.96238266342114,0.0,1,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Informatica,NAVOLATO,San Pedro,4,357,718
2698,47,3,50,82.12,23.124896028448013,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Informatica,CULIACAN,El Limon de Los Ramos,4,137,259
2699,51,0,51,93.15686274509804,8.186263003396867,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Informatica,CULIACAN,Adolfo Lopez Mateos,4,137,72
2701,37,14,51,57.588235294117645,36.64596920294958,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Informatica,CULIACAN,Humaya,4,137,400
2702,15,4,19,59.8421052631579,32.17705041018233,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Informatica,CULIACAN,Los Angeles,4,137,521
2703,8,6,14,47.92857142857143,43.713163456110784,0.0,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Informatica,CULIACAN,Issstesin,4,137,438
2705,54,0,54,89.68518518518519,9.587381790024894,0.0,1,153.0,C.E.T.I.S. 107,Informatica,PERICOS,EJ.CALOMATO,4,376,223
2706,48,13,61,63.557377049180324,34.43279666740414,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Informatica,CULIACAN,Los Angeles,4,137,521
2707,16,6,22,56.36363636363637,35.976904568593206,0.0,1,30.0,COBAES 30(ING. JUAN DE DIOS B),Informatica,COSTA RICA,Centro,4,106,183
2708,47,5,52,78.98076923076923,27.708914389625296,0.0,2,153.0,C.E.T.I.S. 107,Informatica,CULIACAN,Humaya,4,137,400
2710,24,8,32,64.90625,38.90133041509655,0.0,2,190.0,PREPARATORIA ABIERTA (SEP),Informatica,CULIACAN,Las Granjas,4,137,509
2711,27,6,33,67.42424242424242,33.4570903388115,0.0,2,16.0,COBAES 16(PROFR. CIPRIANO OBE),Informatica,CULIACAN,Villa Satelite,4,137,782
2712,4,10,14,21.428571428571427,35.32424376829882,0.0,1,53.0,COBAES 53(PROFRA. FCA. LOPEZ ),Informatica,"COSTA RICA, CLN",Stanza Solare,4,109,727
2714,51,2,53,83.11320754716981,19.208031550688627,0.0,1,32.0,COBAES 32(PROFR. HIGINIO G. M),Informatica,"V.JUAREZ, NAV.",Canarias,4,480,178
2715,35,11,46,60.69565217391305,35.29423595698652,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Informatica,CULIACAN,Fovissste Playa Azul,4,137,359
2716,50,8,58,74.1896551724138,31.269881757726004,0.0,2,9.0,COBAES 9(GRAL. BENJAMIN HILL),Informatica,NAVOLATO,MICHOACANA,4,357,540
2717,51,5,56,79.83928571428571,26.460108421212823,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Informatica,CULIACAN,Chapultepec,4,137,185
2719,50,6,56,73.58928571428571,27.189420927809593,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Informatica,VILLA A. FLORES,La Sirena,4,482,502
2720,50,1,51,90.3529411764706,15.265416508450421,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Informatica,CULIACAN,El Walamo,4,137,267
2723,24,7,31,62.67741935483871,35.73269940057164,0.0,1,7.0,COBAES 7(GRAÑ. PABLO MACIAS V),Informatica,SINALOA DE LEYV,,4,442,870
2725,51,3,54,84.68518518518519,22.531172598076306,0.0,2,34.0,COBAES 34(NICOLAS T. BERNAL),Informatica,GUAMICHIL,Morelos,4,274,565
2726,48,7,55,76.36363636363636,31.212748841389956,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Informatica,CULIACAN,Stase,4,137,728
2728,52,0,52,96.96153846153847,3.994906258987754,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Informatica,CULIACAN,Centro,4,137,183
2729,45,12,57,65.56140350877193,35.39774889122776,0.0,1,151.0,UAS (CONCORDIA),Informatica,CULIACAN,Villa de Guadalupe,4,137,784
2730,50,5,55,77.87272727272727,26.787265178766862,0.0,2,27.0,COBAES 27(LIC.RODOLFO MONJARA),Informatica,CULIACAN,Aquiles Serdan,4,137,92
2731,51,5,56,82.66071428571429,27.550467269236048,0.0,2,145.0,Uas (guasave Diurna),Informatica,GUASAVE,NOROTILLOS,4,285,572
2733,51,0,51,96.56862745098039,4.0608122436812275,0.0,2,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Informatica,CULIACAN,Los Angeles,4,137,521
2734,20,4,24,69.20833333333333,33.53256582807962,0.0,1,127.0,UAS (NAVOLATO),Informatica,LA PIPIMA NAV,,4,323,870
2735,49,5,54,84.70370370370371,28.054280021650776,0.0,1,47.0,COBAES 47(PROFR.MIGUEL CASTRO),Informatica,QUILA CLN,,4,400,870
2738,51,4,55,81.74545454545455,25.002383724740966,0.0,1,163.0,UAS PREP. SEMIESCOLARIZADA,Informatica,CULIACAN,La Higueras,4,137,500
2739,50,4,54,80.18518518518519,24.798869476723127,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Informatica,CULIACAN,Cascadas,4,137,182
2740,53,0,53,89.77358490566037,9.229220963527416,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Informatica,CULIACAN,Villa Union,4,137,783
2741,52,8,60,71.23333333333333,29.375630778177666,0.0,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Sistemas,CULIACAN,Villa Satelite,7,137,782
2742,53,0,53,93.22641509433963,7.159290654145627,0.0,2,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,Villa de Guadalupe,7,137,784
2743,50,2,52,86.17307692307692,18.8083431151993,0.0,2,16.0,COBAES 16(PROFR. CIPRIANO OBE),Sistemas,CULIACAN,Universidad 94,7,137,747
2745,5,9,14,29.571428571428573,41.48533436086742,0.0,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Sistemas,NAVOLATO,Alcanfores,7,357,78
2746,51,0,51,91.01960784313725,8.972157368389013,0.0,2,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,4 de Marzo,7,137,17
2747,50,18,68,59.63235294117647,36.98483126411107,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Sistemas,CULIACAN,Bugambilias,7,137,141
2748,19,3,22,71.0,29.8025246613517,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Sistemas,CULIACAN,4 de Marzo,7,137,17
2750,49,9,58,73.08620689655173,32.98180491627756,0.0,2,112.0,C.B.T.I.S. 45,Sistemas,CULIACAN,Vicente Lombardo Toledano,7,137,777
2751,51,2,53,83.86792452830188,19.215416222647352,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Aguajito,7,137,75
2752,25,10,35,61.457142857142856,40.22535259754274,0.0,2,7.0,COBAES 7(GRAÑ. PABLO MACIAS V),Sistemas,CULIACAN,Cascadas,7,137,182
2754,14,6,20,58.95,41.09741315972396,0.0,1,41.0,COBAES 41(PABLO DE VILLAVICEN),Sistemas,CULIACAN,El Walamo,7,137,267
2757,52,4,56,82.14285714285714,25.279836428864208,0.0,2,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,CULIACAN,La Higueras,3,137,500
2758,54,4,58,78.98275862068965,23.669131114071337,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Fovissste Playa Azul,7,137,359
2759,51,8,59,71.7457627118644,30.204814197431247,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,Infonavit Jobori,3,137,433
2760,51,14,65,64.49230769230769,35.21058216152988,0.0,1,39.0,COBAES 39(PROFR. JOSE ROMERO ),Sistemas,CULIACAN,Campestre,7,137,176
2761,38,5,43,75.55813953488372,29.86023181549843,0.0,1,128.0,UAS (VLADIMIR I. LENIN),Sistemas,CULIACAN,El Walamo,7,137,267
2762,40,22,62,53.693548387096776,41.081521796352405,0.0,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Humaya,7,137,400
2763,3,11,14,16.928571428571427,33.805926393765034,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,San Rafael,7,137,719
2764,41,3,44,77.47727272727273,22.822356069763106,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Pradera Dorada Vii,7,137,634
2765,5,9,14,33.57142857142857,46.7854584339955,0.0,1,31.0,COBAES 31(PROFRA.IRMA GARMEND),Sistemas,CULIACAN,Miguel Leyson,7,137,556
2766,53,7,60,71.33333333333333,27.596159562498364,0.0,1,25.0,COBAES 25(GRAL.SALVADOR ALVAR),Sistemas,SINALOA DE LEYV,Parque Sinaloa,7,442,621
2767,52,6,58,73.48275862068965,26.310721835110744,0.0,1,9.0,COBAES 9(GRAL. BENJAMIN HILL),Sistemas,NAVOLATO,Azucarera,7,357,98
2768,37,10,47,67.31914893617021,36.313314352451286,0.0,1,128.0,UAS (VLADIMIR I. LENIN),Sistemas,CULIACAN,EL TAMARINDO,7,137,239
2769,18,6,24,64.375,38.88758883265188,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Primavera,7,137,636
2771,3,11,14,16.071428571428573,32.11628938647869,0.0,1,41.0,COBAES 41(PABLO DE VILLAVICEN),Sistemas,CULIACAN,Villa de Guadalupe,7,137,784
2772,53,2,55,86.7090909090909,18.97920180118492,0.0,2,22.0,COBAES 22(PROFR.MIGUEL CRISTO),Sistemas,GUAMUCHIL,La Higueras,7,275,500
2775,55,3,58,80.41379310344827,20.962819619807426,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Ignacio Allende,7,137,426
2776,34,16,50,58.04,41.132419310895706,0.0,1,11.0,COBAES 11(LIC.ALEJANDRO RIOS ),Sistemas,CULIACAN,Finisterra,7,137,355
2778,5,9,14,26.071428571428573,36.48912226891795,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Tierra Blanca,7,137,736
2779,52,1,53,88.49056603773585,15.974285395729256,0.0,2,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,4 de Marzo,7,137,17
2781,53,2,55,83.92727272727272,17.98544117546451,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Humaya,7,137,400
2783,53,1,54,85.77777777777777,15.042915547728791,0.0,1,106.0,C.E.T.I.S. 127,Sistemas,GUASAVE,Tamazula,7,285,733
2785,53,11,64,70.734375,33.59385912680689,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Centro,7,137,183
2787,18,4,22,64.31818181818181,32.67063099895883,0.0,1,121.0,UAS (EMILIANO ZAPATA),Sistemas,CULIACAN,Morelos,7,137,565
2788,12,2,14,73.92857142857143,33.055813606487035,0.0,2,39.0,COBAES 39(PROFR. JOSE ROMERO ),Sistemas,CULIACAN,Villa Satelite,7,137,782
2789,38,10,48,64.54166666666667,34.365964318582705,0.0,1,41.0,COBAES 41(PABLO DE VILLAVICEN),Sistemas,CULIACAN,Nuevo Culiacan,7,137,584
2790,47,17,64,57.984375,35.82917680765615,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Sistemas,CULIACAN,Infonavit Jobori,7,137,433
2792,53,9,62,68.54838709677419,29.722584788948364,0.0,1,72.0,COBAES 72 (EMSAD S.JOSE D LLANO),Sistemas,CULIACAN,Riveras de Tamazula,7,137,674
2793,9,5,14,48.857142857142854,38.23783294241278,0.0,1,4.0,COBAES 4(PROFR. VICTOR M. RUB),Sistemas,GUAMUCHIL,Magisterio,7,275,542
2796,53,6,59,76.50847457627118,27.63579193561902,0.0,2,160.0,CONALEP 119,Sistemas,V. ANGEL FLORES,Centro,7,468,183
2797,52,14,66,64.18181818181819,34.430714861503034,0.0,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Sistemas,CULIACAN,Independencia,7,137,427
2799,52,9,61,72.40983606557377,31.46181656610667,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Stase,7,137,728
2800,4,10,14,22.714285714285715,37.571324113003996,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Issstesin,7,137,438
2801,55,0,55,88.49090909090908,9.45921601808351,0.0,2,41.0,COBAES 41(PABLO DE VILLAVICEN),Industrial,COSTA RICA,La Constancia,3,106,498
2802,39,19,58,55.0,39.520370052958846,0.0,1,21.0,COBAES 21(DR. GENARO SALAZAR ),Sistemas,CULIACAN,Las Granjas,7,137,509
2804,10,6,16,49.1875,39.941989184315794,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Miguel Leyson,7,137,556
2805,52,6,58,76.10344827586206,27.753102975034906,0.0,1,154.0,C.E.T.I.S. 108,Sistemas,CULIACAN,Cuauhtemoc,7,137,199
2806,42,3,45,76.17777777777778,22.34572247951077,0.0,1,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,Las Granjas,7,137,509
2808,4,10,14,23.214285714285715,38.61083660446511,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Sistemas,CULIACAN,El Venadillo,7,137,266
2810,26,6,32,66.84375,34.32304725079994,0.0,1,184.0,INST.TECNOL.SUP.DE SINALOA A.C,Sistemas,MOCORITO,Centro,7,353,183
2811,53,4,57,81.52631578947368,23.76304548720697,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Ignacio Allende,7,137,426
2813,47,22,69,54.927536231884055,38.560235095306226,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Sistemas,CULIACAN,Vicente Guerrero,7,137,776
2814,49,13,62,64.41935483870968,34.36570363694288,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Sistemas,CULIACAN,Infonavit Jobori,7,137,433
2815,8,10,18,37.0,43.18360255249398,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Sistemas,CULIACAN,V.LOMBARDO T.,7,137,754
2816,4,10,14,24.857142857142858,41.03817574078881,0.0,1,31.0,COBAES 31(PROFRA.IRMA GARMEND),Sistemas,CULIACAN,ROSALES,7,137,659
2817,51,15,66,61.878787878787875,34.81932052158803,0.0,1,98.0,COLEGIO SINALOA,Sistemas,GUASAVE,Rincon de Las Plazas,7,285,672
2818,52,2,54,85.37037037037037,18.613543756657204,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Villa del Real,7,137,785
2819,52,1,53,91.39622641509433,14.668568729195599,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Sistemas,CULIACAN,Aguajito,7,137,75
2821,49,6,55,76.0909090909091,28.29754126688115,0.0,1,145.0,Uas (guasave Diurna),Sistemas,CULIACAN,Villa del Real,7,137,785
2823,55,1,56,94.44642857142857,14.2291884938954,0.0,2,34.0,COBAES 34(NICOLAS T. BERNAL),Industrial,CULIACAN,Las Mañanitas,3,137,510
2825,6,8,14,36.92857142857143,44.38548668845964,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Humaya,7,137,400
2826,38,5,43,74.53488372093024,28.382043985933972,0.0,1,127.0,UAS (NAVOLATO),Sistemas,NAVOLATO,Esperanza,7,357,270
2828,19,4,23,74.26086956521739,35.74813077288016,0.0,2,41.0,COBAES 41(PABLO DE VILLAVICEN),Sistemas,CULIACAN,Centro,7,137,183
2831,51,2,53,83.35849056603773,18.92504886653852,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Las Granjas,7,137,509
2832,52,0,52,94.6923076923077,5.899612687647673,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Stase,7,137,728
2833,51,5,56,80.30357142857143,26.608214482036896,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Sistemas,CULILACAN,Burocrata,7,173,142
2834,52,6,58,75.56896551724138,27.217842489592453,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CULIACAN,Stase,7,137,728
2835,13,5,18,62.888888888888886,41.09370767474646,0.0,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Sistemas,CUCLIACAN,Humaya,7,130,400
2836,48,7,55,71.76363636363637,28.73697040422786,0.0,1,4.0,COBAES 4(PROFR. VICTOR M. RUB),Electrica,CULIACAN,Centro,1,137,183
2837,48,10,58,70.13793103448276,33.242568501193816,0.0,1,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Electrica,CULIACAN,4 de Marzo,1,137,17
2838,51,9,60,67.1,29.548409002453432,0.0,1,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Electrica,CULIACAN,Centro,1,137,183
2841,53,1,54,82.37037037037037,14.586497111145128,0.0,1,12.0,COBAES 12(PROFR. JOSE SANTOS ),Mecanica,"ROSARIO,SINALOA",Potreritos,5,415,633
2844,50,3,53,82.60377358490567,21.95041582104952,0.0,2,80.0,COBAES 80(DE OCCIDENTE),Industrial,GUASAVE,El Walamo,3,285,267
2845,51,9,60,71.1,31.45871655769871,0.0,1,77.0,COLEGIO DEL VALLE A.C.,Mecanica,,,5,545,870
2849,22,0,22,79.72727272727273,10.916051170646513,0.0,1,161.0,PREPARATORIA SINALOENSE,Electronica,,,2,545,870
2850,14,12,26,40.0,38.07151165898196,0.0,1,149.0,UAS (RUBEN JARAMILLO),Electronica,,,2,545,870
2851,17,13,30,44.06666666666667,39.63099912888928,0.0,1,183.0,PREPARATORIA POR COOPERACION (JOSE VASCONCELOS),Electronica,,,2,545,870
2854,40,5,45,74.26666666666667,27.671284755139222,0.0,1,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,CULIACAN,Ampliacion Loma Linda,3,137,85
2857,9,5,14,51.857142857142854,41.159833188824614,0.0,1,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Sistemas,CULIACAN,Nueva Vizcaya,7,137,581
2858,31,1,32,93.59375,17.70339747783076,0.0,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,Esperanza,3,137,270
2863,23,4,27,69.48148148148148,31.009143031805174,0.0,1,110.0,C.B.T.I.S. 127,Electronica,,,2,545,870
2864,13,7,20,46.25,34.901176273345826,0.0,1,150.0,UAS(VICTOR M.TIRADO EL ROSARIO,Electronica,,,2,545,870
2865,50,3,53,84.56603773584905,22.174577815738477,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Lazaro Cardenas,3,137,512
2866,52,2,54,85.33333333333333,19.308811166906303,0.0,2,9.0,COBAES 9(GRAL. BENJAMIN HILL),Industrial,NAVOLATO,Obrera,3,357,592
2868,51,3,54,85.5,22.1109978611345,0.0,2,34.0,COBAES 34(NICOLAS T. BERNAL),Industrial,GUAMUCHIL,La Higueras,3,275,500
2869,52,3,55,82.85454545454546,21.799097995116064,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,4 de Marzo,3,137,17
2871,51,4,55,75.18181818181819,22.84090783456452,0.0,1,41.0,COBAES 41(PABLO DE VILLAVICEN),Electronica,ROSARIO,Inf Rosendo G Castro,2,413,430
2873,4,9,13,23.076923076923077,36.144297702545785,0.0,1,149.0,UAS (RUBEN JARAMILLO),Electronica,,,2,545,870
2880,47,14,61,61.114754098360656,34.58954483687026,0.0,1,435.0,"INSTITUTO CULTURAL DE OCCIDENTE, A.C.",Mecanica,CULIACAN,Centro,5,137,183
2881,49,5,54,72.85185185185185,25.71278766170888,0.0,1,121.0,UAS (EMILIANO ZAPATA),Electronica,,,2,545,870
2882,23,11,34,54.55882352941177,39.30547897382569,0.0,1,217.0,CET. DEL MAR 08,Electronica,,,2,545,870
2883,16,8,24,51.708333333333336,38.00741251120762,0.0,1,108.0,C.B.T.I.S 152,Electronica,,,2,545,870
2885,32,2,34,76.79411764705883,22.057472329383007,0.0,1,10.0,COBAES 10(ING. FEDERICO DELGA),Electronica,,,2,545,870
2886,19,7,26,55.23076923076923,34.60786926964177,0.0,1,111.0,C.B.T.I.S. 51,Electronica,,,2,545,870
2891,51,2,53,84.20754716981132,18.75177785475496,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,4 de Marzo,3,137,17
2892,50,1,51,89.88235294117646,14.856173206884101,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Los Angeles,3,137,521
2893,49,0,49,92.36734693877551,6.283887721622592,0.0,2,25.0,COBAES 25(GRAL.SALVADOR ALVAR),Industrial,CULIACAN,Genaro Estrada,3,137,381
2894,50,1,51,82.66666666666667,14.438374793122204,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Montserrat,3,137,563
2895,49,0,49,87.48979591836735,8.008127249289707,0.0,1,73.0,LICEO COLHUACAN,Industrial,CULIACAN,Las Mañanitas,3,137,510
2896,10,11,21,42.523809523809526,46.09839373299144,0.0,2,70.0,CONALEP I (JUAN DE DIOS BATIZ- CULIACAN),Industrial,CULIACAN,Torres Porta Alegre,3,137,739
2897,50,0,50,88.88,8.13568606542202,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Gabriel Leyva Velazquez,3,137,380
2898,49,0,49,90.44897959183673,7.475128829686359,0.0,1,61.0,COBAES 61(PROFR.ENRIQUE FELIX),Industrial,V.A.FLORES NAVO,La Sirena,3,474,502
2899,50,4,54,79.64814814814815,23.73847876053624,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Jorge Almada,3,137,456
2900,49,5,54,77.31481481481481,26.32942544577611,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Villa del Real,3,137,785
2901,50,0,50,92.86,7.961668371974945,0.0,2,128.0,UAS (VLADIMIR I. LENIN),Industrial,EL DORADO,Valle Dorado,3,213,771
2902,49,0,49,92.26530612244898,6.670130902651269,0.0,2,153.0,C.E.T.I.S. 107,Industrial,CULIACAN,Santa Natalia,3,137,721
2903,49,0,49,90.40816326530613,8.990546811667746,0.0,2,124.0,UAS (RAFAEL BUELNA TENORIO),Industrial,CULIACAN,Industrial El Palmito,3,137,429
2904,50,5,55,76.41818181818182,25.900586943936307,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Industrial Bravo,3,137,428
2905,50,2,52,83.23076923076923,19.514313886363137,0.0,1,21.0,COBAES 21(DR. GENARO SALAZAR ),Industrial,GUAMUCHIL,Centro,3,275,183
2906,51,2,53,78.30188679245283,17.668512742316462,0.0,1,162.0,INST. CULTURAL DE OCCIDENTE,Industrial,MAZATLAN,Centro,3,346,183
2907,11,6,17,55.470588235294116,42.86624203125756,0.0,1,112.0,C.B.T.I.S. 45,Industrial,CULIACAM,Universidad 94,3,136,747
2908,49,2,51,86.84313725490196,19.436432336228386,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,4 de Marzo,3,137,17
2909,49,1,50,90.58,14.864132971000757,0.0,1,150.0,UAS(VICTOR M.TIRADO EL ROSARIO,Industrial,ROSARIO,LOMALINDA,3,413,488
2910,51,2,53,86.52830188679245,18.73458727921425,0.0,2,45.0,COBAES 45(PROFR.ALEJANDRO CAL),Industrial,CULIACAN,"EL ALTO, QUILA",3,137,234
2911,50,0,50,86.88,8.707585245998256,0.0,1,79.0,COLEGIO CULIACAN,Industrial,CULIACAN,Villa de Guadalupe,3,137,784
2912,51,2,53,84.18867924528301,19.030397347981488,0.0,1,118.0,UAS (CENTRAL DIURNA),Industrial,CULIACAN,Revolucion,3,137,669
2913,49,2,51,85.25490196078431,19.626352832102963,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Campestre,3,137,176
2914,49,0,49,92.20408163265306,7.729757412743556,0.0,2,97.0,INSTITUTO AMERICA,Industrial,CULIACAN,Villa del Real,3,137,785
2915,50,2,52,82.23076923076923,18.719409434935717,0.0,1,55.0,COBAES 55(LIC.RAUL CERVANTES ),Industrial,GUASAVE,Revolucion,3,285,669
2916,50,1,51,79.3529411764706,14.879278919909748,0.0,1,55.0,COBAES 55(LIC.RAUL CERVANTES ),Industrial,GUASAVE,Ipis,3,285,437
2918,49,3,52,83.53846153846153,22.60440833152019,0.0,1,98.0,COLEGIO SINALOA,Industrial,CULIACAN,Los Angeles,3,137,521
2919,50,1,51,84.50980392156863,14.497410181159399,0.0,1,97.0,INSTITUTO AMERICA,Industrial,CULIACAN,Villa Mochis,3,137,781
2921,51,8,59,71.9322033898305,30.02749567955186,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Bugambilias,3,137,141
2922,49,1,50,90.38,15.01005105431228,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Morelos,3,137,565
2923,50,0,50,93.58,7.483560213520552,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,F.RIB.DEL TAMAZ,3,137,282
